Image_name	Species	Structure_and_view	image_dir
INVTUXV213mphabdTXV084_60X_Z10.jpg	Epilineutes sp01	Habitus dorsal view	../../Images/Theridiosomatidae/Epilineutes/sp01/INVTUXV213mphabdTXV084_60X_Z10.jpg
INVTUXV213mphablTXV084_60X_Z10.jpg	Epilineutes sp01	Habitus lateral view	../../Images/Theridiosomatidae/Epilineutes/sp01/INVTUXV213mphablTXV084_60X_Z10.jpg
INVTUXV213mphabvTXV084_60X_Z10.jpg	Epilineutes sp01	Habitus ventral view	../../Images/Theridiosomatidae/Epilineutes/sp01/INVTUXV213mphabvTXV084_60X_Z10.jpg
INVTUXV213mpprsaTXV084_100X_E2B.jpg	Epilineutes sp01	Prosoma anterior view	../../Images/Theridiosomatidae/Epilineutes/sp01/INVTUXV213mpprsaTXV084_100X_E2B.jpg
INVTUXV213mppalvTXV084_100X_E2B.jpg	Epilineutes sp01	Palp ventral view	../../Images/Theridiosomatidae/Epilineutes/sp01/INVTUXV213mppalvTXV084_100X_E2B.jpg
INVTUXV213mppalpTXV084_100X_E2B.jpg	Epilineutes sp01	Palp prolateral view	../../Images/Theridiosomatidae/Epilineutes/sp01/INVTUXV213mppalpTXV084_100X_E2B.jpg
INVTUXV213mppalrTXV084_100X_E2B.jpg	Epilineutes sp01	Palp retrolateral view	../../Images/Theridiosomatidae/Epilineutes/sp01/INVTUXV213mppalrTXV084_100X_E2B.jpg
INVTUXV214fphabdTXV085_60X_Z10.jpg	Epilineutes sp02	Habitus dorsal view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214fphabdTXV085_60X_Z10.jpg
INVTUXV214fphablTXV085_60X_Z10.jpg	Epilineutes sp02	Habitus lateral view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214fphablTXV085_60X_Z10.jpg
INVTUXV214fphabvTXV085_60X_Z10.jpg	Epilineutes sp02	Habitus ventral view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214fphabvTXV085_60X_Z10.jpg
INVTUXV214fpprsaTXV085_100X_E2B.jpg	Epilineutes sp02	Prosoma anterior view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214fpprsaTXV085_100X_E2B.jpg
INVTUXV214fcepivTXV085_200X_E2A.jpg	Epilineutes sp02	Epigynum ventral view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214fcepivTXV085_200X_E2A.jpg
INVTUXV214fpepivTXV085_100X_E2B.jpg	Epilineutes sp02	Epigynum ventral view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214fpepivTXV085_100X_E2B.jpg
INVTUXV214fcepidTXV085_200X_E2A.jpg	Epilineutes sp02	Epigynum dorsal view	../../Images/Theridiosomatidae/Epilineutes/sp02/INVTUXV214fcepidTXV085_200X_E2A.jpg
